,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,artists
31,0.78125,0.15844999999999995,0.61925,0.59575,0.0,0.37175,-6.588000000000001,0.2125,100 gecs
68,0.5452526315789473,0.1445252631578947,0.7429473684210526,0.6556842105263158,0.008539195789473686,0.14667368421052632,-5.020052631578949,0.11274736842105265,24kGoldn
111,0.5209384615384616,0.04356735384615385,0.5473076923076924,0.8045846153846152,1.5530153846153846e-05,0.1817107692307693,-4.599892307692309,0.10440307692307696,5 Seconds of Summer
151,0.5007333333333335,0.25338639999999985,0.7300933333333334,0.6268400000000001,1.6157333333333332e-06,0.16490266666666673,-7.011053333333331,0.22984666666666664,A Boogie Wit da Hoodie
213,0.5546666666666668,0.16663333333333333,0.7426666666666667,0.726,0.0,0.15466666666666667,-5.921333333333332,0.198,A7S
216,0.438,0.0789,0.6559999999999999,0.7290000000000001,0.0,0.133,-4.223,0.0765,ABIR
250,0.594,0.0351,0.5489999999999999,0.6559999999999999,1.19e-06,0.129,-6.515,0.0438,AViVA
264,0.172,0.758,0.325,0.201,0.0,0.0977,-11.595,0.0282,Aaron Krause
274,0.3185,0.0726,0.7354999999999999,0.7340000000000001,0.016657050000000003,0.1945,-8.158999999999999,0.02955,Aaron Smith
359,0.5022,0.05073200000000001,0.5706,0.8134,3.84e-06,0.16782,-4.5908,0.07932000000000003,Adam Lambert
508,0.612,0.0276,0.6559999999999999,0.654,0.0,0.109,-7.0310000000000015,0.0346,Akano
598,0.3034074074074074,0.09974037037037037,0.6181851851851851,0.732962962962963,0.037041048888888886,0.17313333333333336,-5.00374074074074,0.05921481481481481,Alan Walker
699,0.4178846153846154,0.2861923076923077,0.518,0.6024230769230768,1.005653846153846e-05,0.1628230769230769,-6.344115384615388,0.13337307692307696,Alessia Cara
794,0.6974444444444445,0.18364274074074072,0.6186666666666666,0.8134444444444446,0.0010236111111111114,0.1877703703703704,-4.6903703703703705,0.0590074074074074,Alfonso Herrera
912,0.422625,0.178325,0.777,0.659625,3.85e-06,0.159725,-6.487625000000001,0.181375,Almighty
971,0.3915,0.255,0.5405,0.6105,4.74e-06,0.136,-5.845,0.03145,Amanda Shires
1059,0.6974444444444443,0.1836427407407408,0.6186666666666667,0.8134444444444443,0.0010236111111111114,0.1877703703703704,-4.6903703703703705,0.05900740740740744,Anahí
1180,0.5459357142857141,0.13363207142857142,0.6498571428571428,0.7366428571428569,4.746428571428572e-06,0.1820928571428571,-5.289428571428571,0.04151428571428572,Andy Grammer
1336,0.6561111111111111,0.2339555555555556,0.7065555555555556,0.7080000000000002,0.0,0.2386444444444445,-4.275777777777779,0.08582222222222223,Anne-Marie
1356,0.2434,0.10668,0.4888,0.7240000000000001,1.656e-06,0.09152000000000003,-3.6372,0.0413,Annika Wells
1376,0.529,0.044500000000000005,0.6789999999999999,0.6815,0.0,0.159,-4.542000000000002,0.0926,Ansel Elgort
1557,0.4644080188679247,0.25835709433962273,0.6333396226415097,0.5942311320754718,0.0005827850943396228,0.2030179245283018,-6.017622641509434,0.08661650943396226,Ariana Grande
1565,0.5710000000000001,0.19471999999999995,0.6228,0.6666,0.00014419999999999998,0.1838,-6.7788,0.03819999999999999,Aries
1710,0.278,0.35068,0.5926,0.5132,2.8272000000000013e-05,0.1514,-6.2912,0.06122000000000001,Ashe
1720,0.665,0.031100000000000006,0.5685,0.8665,0.000281735,0.3375,-4.43,0.03275,Ashley Lilley
1842,0.50064,0.13543280000000002,0.6304799999999999,0.6792000000000001,3.712e-07,0.15540000000000004,-4.576599999999999,0.06096799999999996,Ava Max
1939,0.4831714285714286,0.2569842857142857,0.527,0.7002857142857143,0.0,0.1804285714285714,-5.444571428571429,0.03624285714285714,BANNERS
