year,valence,acousticness,danceability,energy,explicit,instrumentalness,liveness,speechiness
1921,0.3793266666666666,0.8868960000000005,0.4185973333333336,0.23181513333333337,0.04666666666666667,0.34487805886666656,0.20571,0.073662
1922,0.535549295774648,0.9385915492957747,0.4820422535211267,0.23781535211267593,0.0,0.43419486971830995,0.24071971830985917,0.1166549295774648
1923,0.6254924324324328,0.9572467913513515,0.5773405405405401,0.26240648648648646,0.0,0.371732725027027,0.22746216216216208,0.09394864864864867
1924,0.663725423728814,0.940199860169493,0.5498940677966102,0.3443466101694912,0.0,0.5817009136440677,0.23521906779661006,0.092089406779661
1925,0.6219287769784171,0.9626070503597138,0.5738633093525181,0.2785935251798561,0.0,0.4182973612230214,0.2376679856115108,0.11191798561151083
1926,0.43691045718432514,0.660817216981134,0.5998802612481859,0.2114670907111756,0.17126269956458637,0.3330931111175616,0.23236959361393322,0.4837036284470243
1927,0.6597004878048782,0.9361794552845558,0.6482682926829262,0.2643213008130081,0.01951219512195122,0.39132849865040653,0.16845024390243893,0.11360959349593502
1928,0.49571268834258525,0.9386165035685953,0.5342878667724027,0.20794779540047573,0.0,0.49483548013481354,0.17528937351308488,0.15991149881046796
1929,0.6365298319327733,0.6014265861344558,0.6476698529411761,0.24180073529411722,0.45168067226890757,0.21520403106092462,0.23600021008403335,0.49000073529411764
1930,0.6162376299376306,0.936714937370057,0.5181758835758836,0.3335239189189189,0.0036382536382536385,0.35220592816528057,0.22131086278586296,0.11990966735966746
1931,0.5131170807453418,0.8330399585921336,0.5952217391304357,0.2344967732919257,0.31262939958592134,0.22141964161490724,0.22742795031055896,0.4536189440993791
1932,0.5881599601593626,0.9357705179282878,0.5577976095617526,0.3020677290836656,0.0,0.22635657916334673,0.23249621513944224,0.1390073705179282
1933,0.5994099855282197,0.899897909117222,0.57029030390738,0.2798994211287988,0.004341534008683068,0.18394893968162077,0.20907192474674371,0.09112315484804634
1934,0.5588046712802772,0.8911487501730107,0.528705882352941,0.2621313148788928,0.0,0.276382266643599,0.2134525951557093,0.10245692041522483
1935,0.5455777997364957,0.7783855599472987,0.5558691699604746,0.24636697628458476,0.17918313570487485,0.22587329808959147,0.2292998682476943,0.3539123847167326
1936,0.5640635454545455,0.7723120800000007,0.5580055454545453,0.3083886092727274,0.0,0.2571099957181816,0.2214382727272726,0.27902936363636377
1937,0.5857894977168944,0.8654357853881286,0.5421572298325723,0.31104829528158273,0.0106544901065449,0.3270876216438359,0.22596773211567728,0.08567884322678843
1938,0.5149111092985317,0.9192803908646014,0.479977977161501,0.28098123980424156,0.0,0.37842463492659056,0.23711109298531802,0.09595725938009801
1939,0.5599248999999992,0.9087381000000005,0.5126828,0.2826715000000002,0.0,0.27768246941000013,0.2391015999999999,0.1284626999999999
1940,0.6167094700000009,0.8476440499999951,0.52189235,0.3108928949999999,0.1945,0.31684869986499986,0.26433510000000043,0.24295765000000014
1941,0.4794560416666661,0.8957376562500025,0.4804813541666676,0.2656431979166666,0.010416666666666666,0.44495163931249987,0.20183989583333312,0.09136520833333357
1942,0.47740885850178477,0.8529343703923857,0.4646338882282997,0.25607947086801436,0.0,0.392882047871581,0.21287841854934558,0.08367835909631392
1943,0.4954545070422531,0.9027523185915528,0.4551456338028168,0.27999004225352114,0.0,0.4098969234647892,0.23921070422535243,0.10571957746478874
1944,0.5406954787234041,0.9076531914893636,0.5001744680851068,0.25344144946808517,0.0013297872340425532,0.4492919654122334,0.23877194148936162,0.17328324468085093
1945,0.49136135000000014,0.7096568630000005,0.5191431500000011,0.22604441549999998,0.2605,0.2758942570149996,0.2030099500000001,0.30509729999999974
1946,0.3982538283062647,0.9199445823665853,0.4144450116009276,0.22217230858468667,0.001160092807424594,0.4861264096461711,0.21081832946635762,0.08800591647331797
1947,0.5082125454545455,0.9139650224242392,0.4713208484848491,0.2635512000000002,0.0,0.3475934179090908,0.22382939393939372,0.10056381818181823
1948,0.46214236842105255,0.9221549999999956,0.46336947368421094,0.242464841052632,0.08947368421052632,0.35548482238421036,0.21969357894736785,0.1643593157894739
1949,0.43041950000000007,0.9075328949999956,0.44219939999999963,0.24611461499999965,0.0,0.2977615361899994,0.20885855000000036,0.10299210000000003
1950,0.5516497000000001,0.8539413005999965,0.5042531000000008,0.3140711950000003,0.0465,0.24500082001499998,0.21695840000000038,0.1534527499999999
1951,0.44134755000000003,0.9022971956499974,0.4624800999999999,0.25466565500000005,0.0025,0.3084378555850002,0.21777739999999993,0.10850664999999993
1952,0.44313496204999947,0.8743009244999965,0.4570322000000001,0.25362601000000023,0.0255,0.2884126469300002,0.2329722999999998,0.1373617999999998
1953,0.42914205128205135,0.8909223502564074,0.43742605128205125,0.2661968307692306,0.002564102564102564,0.3183223943230766,0.22173405128205104,0.09008825641025649
1954,0.45234105000000024,0.8650197272999992,0.46563889999999947,0.264347385,0.0,0.29744000827999995,0.2178411499999996,0.10481329999999993
1955,0.4724154999999997,0.8405510069999986,0.48813120000000004,0.2950963400000001,0.0,0.21660442169000027,0.22143535000000006,0.0895582
1956,0.5084230500000003,0.8230569899999975,0.48781450000000065,0.30476112000000016,0.0,0.23876341778000018,0.18225715000000026,0.06231234999999992
1957,0.5110101538461542,0.7928023589743608,0.5034812307692305,0.2952791333333324,0.0,0.19452061616923086,0.18274856410256357,0.06435312820512826
1958,0.4976614999999994,0.7796118650000005,0.48002139999999954,0.3087957550000006,0.0,0.18124111005999985,0.2058408500000003,0.05699929999999995
