title,artist,genre,year,bpm,energy,danceability,dB,liveness,valence,duration_ms,acousticness,speechiness,popularity
Give Me Everything,Pitbull,dance pop,2011,129,0.94,0.67,-3,0.3,0.53,252,0.19,0.16,79
Just the Way You Are,Bruno Mars,pop,2011,109,0.84,0.64,-5,0.09,0.43,221,0.02,0.04,78
Rolling in the Deep,Adele,british soul,2011,105,0.76,0.73,-5,0.05,0.52,228,0.13,0.03,76
Run the World (Girls),Beyoncé,dance pop,2011,127,0.9,0.73,-4,0.37,0.76,236,0.0,0.14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,0.76,0.72,-4,0.32,0.62,201,0.01,0.05,76
Love On Top,Beyoncé,dance pop,2011,94,0.75,0.65,-5,0.6,0.65,267,0.08,0.09,76
Grenade,Bruno Mars,pop,2011,110,0.56,0.71,-7,0.12,0.23,223,0.15,0.06,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,0.78,0.69,-5,0.16,0.81,200,0.08,0.12,75
What the Hell,Avril Lavigne,canadian pop,2011,150,0.93,0.58,-4,0.14,0.88,221,0.0,0.05,74
Born This Way,Lady Gaga,dance pop,2011,124,0.83,0.59,-5,0.33,0.49,260,0.0,0.16,73
Monster,Kanye West,chicago rap,2011,125,0.69,0.63,-6,0.67,0.1,379,0.0,0.2,73
Marry You,Bruno Mars,pop,2011,145,0.83,0.62,-5,0.1,0.48,230,0.33,0.04,73
Best Thing I Never Had,Beyoncé,dance pop,2011,99,0.65,0.55,-4,0.09,0.3,254,0.14,0.03,73
Party Rock Anthem,LMFAO,dance pop,2011,130,0.74,0.75,-4,0.27,0.35,262,0.02,0.16,72
We R Who We R,Kesha,dance pop,2011,120,0.82,0.74,-5,0.12,0.65,205,0.01,0.04,72
Price Tag,Jessie J,australian pop,2011,175,0.83,0.64,-4,0.27,0.68,223,0.03,0.18,72
Good Life,OneRepublic,dance pop,2011,95,0.69,0.63,-8,0.13,0.65,253,0.08,0.05,72
Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,94,0.63,0.66,-9,0.11,0.26,219,0.19,0.18,71
On The Floor,Jennifer Lopez,dance pop,2011,130,0.78,0.73,-5,0.07,0.57,285,0.11,0.05,69
What's My Name?,Rihanna,barbadian pop,2011,100,0.79,0.69,-3,0.08,0.58,263,0.23,0.07,69
Yeah 3x,Chris Brown,dance pop,2011,130,0.88,0.71,-3,0.09,0.7,242,0.0,0.04,69
Without You (feat. Usher),David Guetta,dance pop,2011,128,0.61,0.61,-4,0.16,0.4,208,0.23,0.03,68
Sexy And I Know It,LMFAO,dance pop,2011,130,0.86,0.71,-4,0.19,0.8,199,0.1,0.32,67
The Edge Of Glory,Lady Gaga,dance pop,2011,128,0.77,0.58,-6,0.11,0.36,321,0.0,0.04,67
E.T.,Katy Perry,dance pop,2011,152,0.87,0.62,-5,0.37,0.76,230,0.02,0.18,66
Till the World Ends,Britney Spears,dance pop,2011,132,0.71,0.69,-6,0.2,0.45,238,0.02,0.07,65
I Wanna Go,Britney Spears,dance pop,2011,130,0.55,0.7,-7,0.33,0.79,210,0.0,0.04,64
Blow,Kesha,dance pop,2011,120,0.73,0.75,-4,0.07,0.81,220,0.0,0.04,64
You And I,Lady Gaga,dance pop,2011,127,0.7,0.52,-5,0.09,0.52,307,0.09,0.05,64
Judas,Lady Gaga,dance pop,2011,131,0.93,0.66,-4,0.27,0.53,249,0.0,0.07,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,0.89,0.65,-4,0.12,0.32,232,0.03,0.05,63
Please Don't Go,Mike Posner,dance pop,2011,120,0.88,0.7,-4,0.13,0.66,197,0.0,0.03,63
We Found Love,Rihanna,barbadian pop,2011,128,0.77,0.73,-4,0.11,0.6,215,0.03,0.04,61
Marry The Night,Lady Gaga,dance pop,2011,131,0.88,0.61,-4,0.46,0.38,265,0.0,0.06,61
1+1,Beyoncé,dance pop,2011,63,0.38,0.3,-7,0.07,0.26,274,0.38,0.03,60
Hold It Against Me,Britney Spears,dance pop,2011,133,0.72,0.65,-5,0.24,0.39,229,0.01,0.04,59
I'm Into You,Jennifer Lopez,dance pop,2011,84,0.75,0.59,-4,0.08,0.7,200,0.02,0.14,59
Papi,Jennifer Lopez,dance pop,2011,120,0.81,0.71,-5,0.37,0.89,223,0.13,0.06,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,0.91,0.58,-4,0.29,0.73,262,0.02,0.04,58
S&M Remix,Rihanna,barbadian pop,2011,128,0.81,0.82,-3,0.05,0.89,257,0.05,0.05,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,0.95,0.64,-4,0.18,0.57,220,0.06,0.07,52
Jar of Hearts,Christina Perri,dance pop,2011,75,0.35,0.35,-6,0.12,0.09,247,0.73,0.03,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,0.86,0.45,-5,0.26,0.58,329,0.07,0.39,49
Turning Page,Sleeping At Last,acoustic pop,2011,125,0.38,0.3,-8,0.11,0.19,255,0.91,0.03,46
Super Bass,Nicki Minaj,dance pop,2011,127,0.74,0.77,-7,0.4,0.59,201,0.06,0.23,38
Raise Your Glass,P!nk,dance pop,2011,122,0.64,0.68,-7,0.12,0.56,208,0.0,0.12,38
Invading My Mind,Jennifer Lopez,dance pop,2011,129,0.88,0.73,-4,0.32,0.69,201,0.02,0.07,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,0.88,0.5,-4,0.22,0.37,279,0.39,0.38,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,0.81,0.65,-4,0.67,0.72,231,0.0,0.04,27
Firework,Katy Perry,dance pop,2011,124,0.83,0.64,-5,0.11,0.65,228,0.14,0.05,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,0.72,0.8,-5,0.19,0.53,227,0.56,0.33,7
Titanium (feat. Sia),David Guetta,dance pop,2012,126,0.79,0.6,-4,0.13,0.3,245,0.07,0.1,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,0.7,0.73,-4,0.31,0.87,233,0.05,0.04,79
Paradise,Coldplay,permanent wave,2012,140,0.59,0.45,-7,0.08,0.2,279,0.05,0.03,79
Payphone,Maroon 5,pop,2012,110,0.75,0.74,-5,0.29,0.55,231,0.02,0.04,79
What Makes You Beautiful,One Direction,boy band,2012,125,0.79,0.73,-2,0.06,0.89,200,0.01,0.07,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,0.47,0.62,-7,0.03,0.68,220,0.0,0.04,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,0.58,0.78,-7,0.11,0.66,193,0.01,0.04,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,0.68,0.86,-4,0.07,0.92,188,0.08,0.05,76
Set Fire to the Rain,Adele,british soul,2012,108,0.68,0.61,-4,0.13,0.47,242,0.0,0.03,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,0.68,0.63,-6,0.12,0.75,193,0.01,0.09,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,0.94,0.56,-4,0.11,0.68,222,0.05,0.05,74
Try,P!nk,dance pop,2012,104,0.63,0.67,-7,0.09,0.55,248,0.0,0.03,74
Starships,Nicki Minaj,dance pop,2012,125,0.72,0.75,-2,0.25,0.75,211,0.14,0.08,73
One More Night,Maroon 5,pop,2012,93,0.82,0.72,-3,0.08,0.62,220,0.06,0.03,73
Good Time,Owl City,pop,2012,126,0.87,0.56,-4,0.37,0.68,206,0.02,0.14,73
Glad You Came,The Wanted,boy band,2012,127,0.85,0.72,-4,0.11,0.45,198,0.03,0.06,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,0.84,0.6,-5,0.07,0.53,228,0.0,0.06,72
International Love,Pitbull,dance pop,2012,120,0.86,0.67,-3,0.34,0.65,227,0.01,0.05,72
Some Nights,fun.,baroque pop,2012,108,0.74,0.67,-7,0.09,0.39,277,0.02,0.05,72
Boyfriend,Justin Bieber,canadian pop,2012,97,0.55,0.72,-6,0.13,0.33,171,0.04,0.05,71
Part Of Me,Katy Perry,dance pop,2012,130,0.92,0.68,-5,0.07,0.77,216,0.0,0.04,71
Domino,Jessie J,australian pop,2012,127,0.55,0.76,-5,0.04,0.78,232,0.01,0.03,69
Where Have You Been,Rihanna,barbadian pop,2012,128,0.85,0.72,-6,0.22,0.44,243,0.0,0.09,68
Wide Awake,Katy Perry,dance pop,2012,160,0.68,0.51,-5,0.39,0.57,221,0.07,0.04,68
The One That Got Away,Katy Perry,dance pop,2012,134,0.8,0.69,-4,0.16,0.88,227,0.0,0.04,67
Dance Again,Jennifer Lopez,dance pop,2012,128,0.86,0.79,-5,0.1,0.71,237,0.02,0.07,66
Turn Up the Music,Chris Brown,dance pop,2012,130,0.84,0.59,-6,0.16,0.64,228,0.0,0.1,65
Lights - Single Version,Ellie Goulding,dance pop,2012,120,0.8,0.68,-6,0.13,0.78,211,0.03,0.04,65
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,0.64,0.38,-6,0.08,0.74,251,0.02,0.08,63
Diamonds,Rihanna,barbadian pop,2012,92,0.71,0.56,-5,0.11,0.39,225,0.0,0.05,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,0.96,0.72,-4,0.38,0.95,206,0.01,0.09,59
You Da One,Rihanna,barbadian pop,2012,127,0.72,0.7,-5,0.13,0.86,200,0.5,0.04,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,0.8,0.65,-3,0.27,0.8,211,0.03,0.1,54
It Will Rain,Bruno Mars,pop,2012,150,0.84,0.58,-7,0.08,0.48,258,0.34,0.05,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,0.92,0.6,-3,0.25,0.75,256,0.0,0.04,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,0.81,0.51,-5,0.21,0.69,230,0.0,0.05,88
Wake Me Up,Avicii,big room,2013,124,0.78,0.53,-6,0.16,0.64,247,0.0,0.05,85
Story of My Life,One Direction,boy band,2013,121,0.66,0.6,-6,0.12,0.29,245,0.23,0.05,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,0.55,0.78,-7,0.13,0.44,243,0.35,0.05,81
Hall of Fame,The Script,celtic rock,2013,85,0.87,0.42,-4,0.12,0.63,203,0.07,0.06,80
Roar,Katy Perry,dance pop,2013,180,0.77,0.55,-5,0.35,0.46,224,0.0,0.04,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,0.62,0.61,-6,0.37,0.48,231,0.01,0.03,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,0.84,0.61,-3,0.12,0.44,213,0.11,0.05,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,0.81,0.79,-9,0.1,0.86,248,0.04,0.04,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,0.42,0.53,-6,0.11,0.35,221,0.41,0.03,77
Impossible,James Arthur,pop,2013,170,0.7,0.38,-5,0.11,0.3,209,0.14,0.09,77
Blurred Lines,Robin Thicke,dance pop,2013,120,0.6,0.85,-5,0.08,0.84,264,0.0,0.04,76
Heart Attack,Demi Lovato,dance pop,2013,174,0.79,0.5,-5,0.24,0.5,211,0.07,0.1,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,0.68,0.63,-6,0.12,0.75,193,0.01,0.09,75
Die Young,Kesha,dance pop,2013,128,0.7,0.71,-5,0.22,0.8,212,0.0,0.05,75
Clarity,Zedd,complextro,2013,128,0.78,0.51,-3,0.07,0.18,271,0.04,0.07,75
