title,artist,genre,year,bpm,energy,danceability,dB,liveness,valence,duration_ms,acousticness,speechiness,popularity
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,0.62,0.7,-7,0.16,0.72,193,0.08,0.25,67
Love Runs Out,OneRepublic,dance pop,2014,120,0.93,0.72,-4,0.08,0.74,225,0.17,0.06,66
This Is How We Do,Katy Perry,dance pop,2014,96,0.64,0.69,-6,0.15,0.8,204,0.02,0.05,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,0.92,0.71,-4,0.27,0.98,232,0.0,0.04,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,0.62,0.76,-6,0.09,0.52,241,0.01,0.18,65
#SELFIE,The Chainsmokers,electropop,2014,128,0.92,0.79,-3,0.08,0.66,184,0.01,0.25,65
Partition,Beyoncé,dance pop,2014,186,0.44,0.41,-12,0.31,0.17,319,0.03,0.29,65
Birthday,Katy Perry,dance pop,2014,126,0.67,0.72,-5,0.11,0.84,215,0.09,0.07,65
G.U.Y.,Lady Gaga,dance pop,2014,110,0.92,0.62,-3,0.12,0.57,233,0.01,0.04,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,0.74,0.6,-3,0.09,0.46,217,0.11,0.04,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,0.66,0.5,-6,0.27,0.25,226,0.03,0.04,63
Wings,Birdy,neo mellow,2014,83,0.71,0.47,-5,0.16,0.22,252,0.08,0.03,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,0.81,0.69,-4,0.14,0.82,207,0.12,0.07,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,0.77,0.35,-4,0.12,0.04,191,0.06,0.05,61
Say Something,A Great Big World,neo mellow,2014,138,0.15,0.45,-9,0.09,0.09,229,0.87,0.03,61
A Sky Full of Stars,Coldplay,permanent wave,2014,125,0.68,0.55,-6,0.21,0.16,268,0.01,0.03,60
Come Get It Bae,Pharrell Williams,dance pop,2014,120,0.8,0.93,-6,0.1,0.9,202,0.27,0.08,59
Chandelier,Sia,australian dance,2014,174,0.78,0.29,-3,0.07,0.62,216,0.02,0.07,56
XO,Beyoncé,dance pop,2014,170,0.79,0.47,-9,0.31,0.21,216,0.17,0.26,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,0.94,0.6,-4,0.1,0.55,222,0.0,0.07,56
Not About Angels,Birdy,neo mellow,2014,116,0.14,0.41,-10,0.09,0.23,190,0.97,0.04,56
Drunk in Love,Beyoncé,dance pop,2014,140,0.62,0.59,-7,0.18,0.4,323,0.01,0.05,52
Anaconda,Nicki Minaj,dance pop,2014,130,0.6,0.96,-6,0.21,0.65,260,0.07,0.18,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,0.81,0.68,-4,0.34,0.64,169,0.07,0.06,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,0.82,0.8,-5,0.35,0.61,198,0.18,0.04,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,0.34,0.68,-9,0.09,0.56,160,0.84,0.03,49
Words as Weapons,Birdy,neo mellow,2014,120,0.35,0.53,-9,0.14,0.19,239,0.28,0.03,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,0.58,0.63,-7,0.38,0.56,224,0.28,0.07,38
Sheezus,Lily Allen,dance pop,2014,130,0.5,0.78,-7,0.11,0.39,235,0.15,0.04,37
Cannonball,Lea Michele,hollywood,2014,92,0.82,0.56,-3,0.19,0.57,215,0.02,0.05,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,0.54,0.64,-9,0.25,0.53,230,0.1,0.11,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,0.73,0.74,-6,0.12,0.59,207,0.45,0.42,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,0.73,0.59,-6,0.38,0.46,266,0.27,0.06,0
Thinking out Loud,Ed Sheeran,pop,2015,79,0.45,0.78,-6,0.18,0.59,282,0.47,0.03,84
I'm Not The Only One,Sam Smith,pop,2015,82,0.49,0.68,-6,0.08,0.49,239,0.53,0.04,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,0.56,0.58,-7,0.14,0.14,242,0.07,0.05,84
Love Yourself,Justin Bieber,canadian pop,2015,100,0.38,0.61,-10,0.28,0.52,234,0.84,0.44,83
Uptown Funk,Mark Ronson,dance pop,2015,115,0.61,0.86,-7,0.03,0.93,270,0.01,0.08,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129,0.66,0.57,-5,0.12,0.44,242,0.63,0.05,81
Sugar,Maroon 5,pop,2015,120,0.79,0.75,-7,0.09,0.88,235,0.06,0.03,81
Sorry,Justin Bieber,canadian pop,2015,100,0.76,0.65,-4,0.3,0.41,201,0.08,0.05,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206,0.27,0.58,-6,0.13,0.35,188,0.88,0.05,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,0.61,0.26,-7,0.13,0.28,253,0.25,0.05,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,0.38,0.66,-6,0.1,0.44,252,0.39,0.03,79
What Do You Mean?,Justin Bieber,canadian pop,2015,125,0.57,0.85,-8,0.08,0.79,206,0.59,0.1,79
Stitches,Shawn Mendes,canadian pop,2015,150,0.75,0.75,-7,0.05,0.76,207,0.02,0.07,78
Want to Want Me,Jason Derulo,dance pop,2015,114,0.68,0.78,-6,0.11,0.66,208,0.01,0.06,77
My House,Flo Rida,dance pop,2015,94,0.7,0.69,-5,0.13,0.74,192,0.02,0.05,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,0.51,0.83,-9,0.08,0.45,208,0.01,0.04,77
Night Changes,One Direction,boy band,2015,120,0.52,0.67,-8,0.12,0.37,227,0.86,0.04,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,0.87,0.74,-4,0.39,0.34,213,0.04,0.07,77
Never Forget You,Zara Larsson,dance pop,2015,146,0.73,0.58,-6,0.27,0.28,213,0.0,0.05,77
Love Me Harder,Ariana Grande,dance pop,2015,99,0.71,0.47,-4,0.08,0.24,236,0.01,0.03,76
Animals,Maroon 5,pop,2015,190,0.74,0.28,-6,0.59,0.33,231,0.0,0.09,76
Blame,Calvin Harris,dance pop,2015,128,0.86,0.41,-4,0.34,0.35,213,0.03,0.08,76
Worth It,Fifth Harmony,dance pop,2015,100,0.77,0.88,-4,0.12,0.59,225,0.06,0.09,75
Break Free,Ariana Grande,dance pop,2015,130,0.7,0.69,-5,0.2,0.28,215,0.01,0.05,75
Don't,Ed Sheeran,pop,2015,95,0.61,0.81,-7,0.64,0.85,220,0.01,0.07,74
Elastic Heart,Sia,australian dance,2015,130,0.79,0.42,-5,0.15,0.5,257,0.01,0.05,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,0.59,0.8,-7,0.19,0.55,228,0.16,0.04,73
Hello,Adele,british soul,2015,158,0.45,0.48,-6,0.09,0.29,295,0.34,0.03,73
Dear Future Husband,Meghan Trainor,dance pop,2015,79,0.78,0.66,-5,0.32,0.83,184,0.38,0.19,72
43776,Beyoncé,dance pop,2015,136,0.71,0.75,-5,0.13,0.56,214,0.01,0.13,72
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,0.79,0.62,-5,0.14,0.62,227,0.05,0.04,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,0.73,0.6,-4,0.33,0.53,193,0.24,0.15,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,0.8,0.63,-7,0.14,0.91,218,0.21,0.16,72
Company,Justin Bieber,canadian pop,2015,95,0.8,0.59,-5,0.08,0.43,208,0.13,0.06,72
Sing,Ed Sheeran,pop,2015,120,0.67,0.82,-4,0.06,0.94,235,0.3,0.05,71
Jealous - Remix,Nick Jonas,dance pop,2015,93,0.71,0.68,-4,0.44,0.45,222,0.01,0.08,70
Really Don't Care,Demi Lovato,dance pop,2015,121,0.73,0.71,-4,0.19,0.85,202,0.12,0.09,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,0.61,0.83,-4,0.29,0.71,293,0.09,0.07,70
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,0.89,0.57,-5,0.33,0.31,233,0.1,0.08,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,0.8,0.49,-4,0.06,0.48,199,0.01,0.05,69
Up,Olly Murs,dance pop,2015,115,0.85,0.69,-5,0.1,0.64,224,0.02,0.03,69
Trumpets,Jason Derulo,dance pop,2015,82,0.7,0.63,-5,0.1,0.64,217,0.56,0.24,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,0.85,0.32,-6,0.48,0.08,213,0.01,0.08,69
Same Old Love,Selena Gomez,dance pop,2015,98,0.59,0.67,-4,0.21,0.44,229,0.02,0.03,69
I Want You To Know,Zedd,complextro,2015,130,0.85,0.58,-3,0.14,0.37,240,0.01,0.06,68
Lips Are Movin,Meghan Trainor,dance pop,2015,139,0.83,0.78,-5,0.11,0.95,183,0.05,0.05,68
I'll Show You,Justin Bieber,canadian pop,2015,192,0.61,0.36,-7,0.18,0.08,200,0.05,0.1,68
Here,Alessia Cara,canadian contemporary r&b,2015,120,0.82,0.38,-4,0.08,0.33,199,0.08,0.1,68
I Lived,OneRepublic,dance pop,2015,120,0.85,0.59,-5,0.27,0.34,235,0.07,0.04,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,0.94,0.69,-5,0.05,0.79,235,0.09,0.06,67
Easy Love,Sigala,dance pop,2015,124,0.94,0.68,-4,0.12,0.65,230,0.18,0.06,67
The Feeling,Justin Bieber,canadian pop,2015,127,0.81,0.53,-6,0.1,0.21,245,0.08,0.06,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,0.81,0.62,-5,0.22,0.6,205,0.01,0.04,66
BO$$,Fifth Harmony,dance pop,2015,103,0.87,0.81,-5,0.05,0.74,171,0.01,0.11,66
Sugar,Maroon 5,pop,2015,120,0.79,0.75,-7,0.09,0.88,235,0.06,0.03,66
Focus,Ariana Grande,dance pop,2015,100,0.88,0.67,-6,0.44,0.79,211,0.27,0.24,66
All About That Bass,Meghan Trainor,dance pop,2015,134,0.88,0.81,-4,0.11,0.96,189,0.05,0.05,65
On My Mind,Ellie Goulding,dance pop,2015,155,0.71,0.7,-7,0.09,0.74,213,0.26,0.05,65
Love Me Like You,Little Mix,dance pop,2015,106,0.67,0.79,-4,0.28,0.85,198,0.21,0.04,65
Broken Arrows,Avicii,big room,2015,116,0.67,0.63,-7,0.1,0.29,233,0.05,0.05,65
Booty,Jennifer Lopez,dance pop,2015,129,0.95,0.71,-4,0.26,0.4,210,0.0,0.05,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,0.36,0.77,-11,0.1,0.76,204,0.79,0.04,64
Mark My Words,Justin Bieber,canadian pop,2015,114,0.26,0.38,-9,0.17,0.52,134,0.88,0.03,63
Lay It All on Me,Rudimental,dance pop,2015,123,0.75,0.67,-7,0.19,0.48,242,0.14,0.04,62
American Oxygen,Rihanna,barbadian pop,2015,78,0.75,0.39,-6,0.33,0.48,320,0.05,0.09,61
Bang Bang,Jessie J,australian pop,2015,150,0.75,0.71,-4,0.38,0.73,199,0.27,0.09,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,0.7,0.71,-8,0.07,0.6,159,0.02,0.03,61
Alive,Sia,australian dance,2015,100,0.76,0.51,-4,0.11,0.44,264,0.25,0.05,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,0.82,0.64,-5,0.16,0.64,219,0.02,0.06,60
Been You,Justin Bieber,canadian pop,2015,113,0.78,0.74,-6,0.32,0.86,199,0.02,0.07,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,0.89,0.76,-5,0.62,0.78,189,0.02,0.03,58
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,0.48,0.69,-8,0.06,0.28,230,0.37,0.08,56
Heroes (we could be),Alesso,big room,2015,126,0.75,0.52,-4,0.24,0.35,210,0.04,0.06,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,0.6,0.47,-6,0.09,0.04,292,0.33,0.05,55
Perfect,One Direction,boy band,2015,100,0.82,0.65,-5,0.12,0.4,230,0.06,0.08,55
Ghosttown,Madonna,dance pop,2015,79,0.55,0.54,-7,0.12,0.09,250,0.04,0.04,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,0.87,0.6,-4,0.1,0.59,193,0.05,0.08,54
Bloodstream,Ed Sheeran,pop,2015,89,0.59,0.48,-6,0.06,0.27,309,0.2,0.05,52
Living For Love,Madonna,dance pop,2015,123,0.79,0.67,-5,0.25,0.39,219,0.04,0.09,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,0.55,0.69,-5,0.1,0.26,203,0.01,0.03,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,0.82,0.57,-3,0.16,0.66,211,0.06,0.03,52
Steal My Girl,One Direction,boy band,2015,77,0.76,0.47,-6,0.14,0.52,227,0.0,0.04,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,0.85,0.68,-3,0.06,0.93,193,0.01,0.06,50
We Are Here,Alicia Keys,hip pop,2015,93,0.67,0.64,-6,0.08,0.08,285,0.43,0.04,49
St Jude,Florence + The Machine,art pop,2015,117,0.43,0.26,-11,0.11,0.09,225,0.75,0.03,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,0.78,0.57,-4,0.33,0.28,243,0.02,0.03,46
Time of Our Lives,Pitbull,dance pop,2015,124,0.8,0.72,-6,0.69,0.72,229,0.09,0.06,45
Sparks,Hilary Duff,dance pop,2015,122,0.88,0.85,-5,0.1,0.79,186,0.04,0.06,44
Mr. Put It Down,Ricky Martin,dance pop,2015,128,0.78,0.8,-6,0.04,0.83,196,0.01,0.18,42
Legendary Lovers,Katy Perry,dance pop,2015,126,0.84,0.62,-5,0.08,0.39,224,0.02,0.08,41
Spark The Fire,Gwen Stefani,dance pop,2015,120,0.8,0.88,-4,0.2,0.54,202,0.08,0.06,39
Run Run Run,Kelly Clarkson,dance pop,2015,112,0.37,0.28,-7,0.11,0.08,273,0.45,0.04,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,0.9,0.72,-4,0.06,0.88,238,0.01,0.13,34
Dangerous,Jennifer Hudson,dance pop,2015,109,0.53,0.9,-5,0.08,0.65,255,0.0,0.05,18
L.A.LOVE (la la),Fergie,dance pop,2015,202,0.39,0.48,-8,0.26,0.27,193,0.02,0.09,0
The Hills,The Weeknd,canadian contemporary r&b,2016,113,0.56,0.58,-7,0.14,0.14,242,0.07,0.05,84
Love Yourself,Justin Bieber,canadian pop,2016,100,0.38,0.61,-10,0.28,0.52,234,0.84,0.44,83
Cake By The Ocean,DNCE,dance pop,2016,119,0.75,0.77,-5,0.04,0.9,219,0.15,0.05,81
Don't Let Me Down,The Chainsmokers,electropop,2016,160,0.87,0.53,-5,0.14,0.42,208,0.16,0.17,81
In the Name of Love,Martin Garrix,big room,2016,134,0.52,0.5,-6,0.45,0.17,196,0.11,0.04,81
Into You,Ariana Grande,dance pop,2016,108,0.73,0.62,-6,0.14,0.37,244,0.02,0.11,80
This Is What You Came For,Calvin Harris,dance pop,2016,124,0.93,0.63,-3,0.15,0.47,222,0.2,0.03,80
Million Reasons,Lady Gaga,dance pop,2016,130,0.42,0.67,-8,0.11,0.15,205,0.49,0.04,80
Needed Me,Rihanna,barbadian pop,2016,111,0.31,0.67,-8,0.08,0.3,192,0.11,0.24,80
7 Years,Lukas Graham,danish pop,2016,120,0.47,0.77,-6,0.39,0.34,237,0.29,0.05,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,0.83,0.67,-6,0.19,0.7,236,0.01,0.07,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,0.59,0.8,-6,0.06,0.59,214,0.1,0.04,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,0.74,0.57,-6,0.11,0.45,230,0.03,0.13,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,0.53,0.63,-7,0.18,0.42,225,0.4,0.04,79
Work,Rihanna,barbadian pop,2016,92,0.53,0.73,-6,0.09,0.56,219,0.08,0.09,78
Stitches,Shawn Mendes,canadian pop,2016,150,0.75,0.75,-7,0.05,0.76,207,0.02,0.07,78
"Me, Myself & I",G-Eazy,hip hop,2016,112,0.67,0.76,-7,0.16,0.38,251,0.02,0.1,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,0.71,0.66,-7,0.08,0.69,198,0.04,0.11,78
Dangerous Woman,Ariana Grande,dance pop,2016,134,0.6,0.66,-5,0.36,0.29,236,0.05,0.04,78
Starving,Hailee Steinfeld,dance pop,2016,100,0.62,0.73,-4,0.11,0.51,182,0.38,0.06,78
Shout Out to My Ex,Little Mix,dance pop,2016,126,0.75,0.77,-4,0.11,0.8,246,0.02,0.09,77
Electric Love,BØRNS,electropop,2016,120,0.8,0.61,-8,0.26,0.52,218,0.01,0.05,76
Confident,Demi Lovato,dance pop,2016,130,0.75,0.59,-6,0.09,0.34,206,0.0,0.07,75
Too Good,Drake,canadian hip hop,2016,118,0.65,0.79,-8,0.1,0.39,263,0.05,0.1,74
Roses,The Chainsmokers,electropop,2016,100,0.8,0.71,-7,0.31,0.34,227,0.04,0.06,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,0.8,0.61,-5,0.16,0.5,185,0.07,0.04,73
Me Too,Meghan Trainor,dance pop,2016,124,0.69,0.93,-6,0.48,0.84,181,0.1,0.1,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,0.88,0.75,-4,0.23,0.75,166,0.04,0.07,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,0.68,0.76,-6,0.07,0.82,218,0.05,0.23,72
Close,Nick Jonas,dance pop,2016,124,0.62,0.65,-5,0.14,0.4,234,0.25,0.08,72
Toothbrush,DNCE,dance pop,2016,105,0.79,0.55,-6,0.47,0.82,232,0.12,0.13,72
All We Know,The Chainsmokers,electropop,2016,90,0.59,0.66,-9,0.12,0.3,194,0.1,0.03,72
Final Song,MØ,dance pop,2016,105,0.67,0.7,-6,0.08,0.25,236,0.01,0.03,72
Company,Justin Bieber,canadian pop,2016,95,0.8,0.59,-5,0.08,0.43,208,0.13,0.06,72
Hands To Myself,Selena Gomez,dance pop,2016,111,0.5,0.81,-7,0.34,0.47,201,0.01,0.12,71
All I Ask,Adele,british soul,2016,142,0.28,0.59,-5,0.15,0.34,272,0.88,0.03,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,0.7,0.63,-6,0.11,0.5,215,0.01,0.15,71
NO,Meghan Trainor,dance pop,2016,92,0.8,0.56,-4,0.74,0.65,214,0.01,0.22,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,0.88,0.76,-5,0.1,0.4,218,0.01,0.04,70
Cool Girl,Tove Lo,dance pop,2016,102,0.69,0.67,-7,0.08,0.2,199,0.31,0.11,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,0.85,0.32,-6,0.48,0.08,213,0.01,0.08,69
Here,Alessia Cara,canadian contemporary r&b,2016,120,0.82,0.38,-4,0.08,0.33,199,0.08,0.1,68
Perfect Illusion,Lady Gaga,dance pop,2016,125,0.86,0.61,-5,0.36,0.66,182,0.0,0.04,67
PILLOWTALK,ZAYN,dance pop,2016,125,0.7,0.59,-4,0.09,0.43,204,0.1,0.05,66
Out Of The Woods,Taylor Swift,pop,2016,92,0.84,0.55,-7,0.34,0.34,236,0.0,0.04,66
Rise,Katy Perry,dance pop,2016,101,0.64,0.55,-6,0.11,0.44,203,0.05,0.05,66
Wherever I Go,OneRepublic,dance pop,2016,100,0.69,0.55,-6,0.27,0.35,170,0.09,0.04,66
Body Say,Demi Lovato,dance pop,2016,87,0.74,0.63,-5,0.28,0.26,194,0.0,0.04,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,0.34,0.47,-6,0.1,0.27,216,0.6,0.04,65
LIKE I WOULD,ZAYN,dance pop,2016,113,0.83,0.56,-6,0.26,0.23,192,0.02,0.11,65
Cheap Thrills,Sia,australian dance,2016,90,0.8,0.59,-5,0.08,0.73,225,0.06,0.22,64
I Got You,Bebe Rexha,dance pop,2016,98,0.89,0.61,-5,0.09,0.32,192,0.05,0.05,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,0.72,0.56,-6,0.05,0.25,251,0.01,0.05,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,0.88,0.6,-4,0.16,0.32,228,0.02,0.12,63
Send My Love (To Your New Lover),Adele,british soul,2016,164,0.52,0.69,-8,0.17,0.56,223,0.04,0.1,61
WTF (Where They From),Missy Elliott,dance pop,2016,120,0.82,0.93,-3,0.06,0.56,193,0.02,0.2,58
Desire,Years & Years,dance pop,2016,126,0.78,0.71,-5,0.3,0.64,203,0.3,0.06,58
When We Were Young,Adele,british soul,2016,144,0.59,0.38,-6,0.09,0.27,291,0.35,0.05,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,0.77,0.68,-5,0.16,0.72,224,0.11,0.1,57
Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop,2016,94,0.57,0.37,-6,0.13,0.12,403,0.72,0.03,57
Hurts,Emeli Sandé,dance pop,2016,106,0.64,0.58,-8,0.15,0.18,238,0.02,0.03,57
Change,Christina Aguilera,dance pop,2016,82,0.54,0.62,-6,0.13,0.2,187,0.68,0.08,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,0.7,0.7,-7,0.22,0.58,231,0.16,0.1,53
Keeping Your Head Up,Birdy,neo mellow,2016,122,0.78,0.6,-5,0.19,0.53,208,0.16,0.05,52
True Colors,Zedd,complextro,2016,126,0.79,0.57,-3,0.1,0.49,225,0.4,0.04,51
Make Me Like You,Gwen Stefani,dance pop,2016,118,0.71,0.74,-5,0.13,0.8,217,0.04,0.05,50
Champagne Problems,Nick Jonas,dance pop,2016,108,0.78,0.73,-5,0.09,0.64,193,0.0,0.13,50
Blown,DNCE,dance pop,2016,130,0.95,0.63,-5,0.1,0.73,197,0.0,0.04,48
Start,John Legend,neo mellow,2016,110,0.04,0.52,-15,0.09,0.26,310,0.99,0.04,47
Pep Rally,Missy Elliott,dance pop,2016,90,0.75,0.83,-4,0.2,0.32,263,0.22,0.12,47
Higher,Carly Rae Jepsen,canadian pop,2016,114,0.87,0.65,-5,0.37,0.44,234,0.01,0.06,46
Invitation,Britney Spears,dance pop,2016,112,0.65,0.37,-7,0.09,0.16,200,0.03,0.11,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,0.69,0.75,-5,0.13,0.52,192,0.26,0.04,41
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,0.17,0.39,-13,0.11,0.14,214,0.91,0.03,36
Little Lies,Hilary Duff,dance pop,2016,124,0.76,0.57,-6,0.04,0.4,204,0.0,0.06,36
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,0.7,0.75,-6,0.11,0.45,203,0.01,0.07,34
BURNITUP!,Janet Jackson,dance pop,2016,123,0.71,0.83,-7,0.31,0.83,250,0.05,0.18,31
Picky - Remix,Joey Montana,latin,2016,186,0.81,0.7,-3,0.37,0.69,225,0.09,0.07,29
Behind Your Back,Nelly Furtado,canadian latin,2016,98,0.47,0.8,-10,0.07,0.69,228,0.25,0.04,18
Million Years Ago,Adele,british soul,2016,0,0.0,0.0,-60,0.0,0.0,227,0.0,0.0,0
Shape of You,Ed Sheeran,pop,2017,96,0.65,0.83,-3,0.09,0.93,234,0.58,0.08,87
Closer,The Chainsmokers,electropop,2017,95,0.52,0.75,-6,0.11,0.66,245,0.41,0.03,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,0.59,0.68,-7,0.14,0.49,230,0.14,0.28,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,0.82,0.44,-4,0.11,0.75,188,0.11,0.34,84
That's What I Like,Bruno Mars,pop,2017,134,0.56,0.85,-5,0.09,0.86,207,0.01,0.04,83
Let Me Love You,DJ Snake,electronic trap,2017,100,0.72,0.65,-5,0.14,0.16,206,0.09,0.03,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,0.82,0.77,-6,0.07,0.59,269,0.43,0.12,81
Mercy,Shawn Mendes,canadian pop,2017,148,0.66,0.56,-5,0.11,0.36,209,0.13,0.08,81
Side To Side,Ariana Grande,dance pop,2017,159,0.74,0.65,-6,0.24,0.61,226,0.05,0.23,80
Stay,Zedd,complextro,2017,102,0.62,0.69,-5,0.12,0.54,210,0.25,0.06,80
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,0.53,0.64,-7,0.09,0.52,221,0.12,0.07,79
Malibu,Miley Cyrus,dance pop,2017,140,0.78,0.57,-6,0.08,0.34,232,0.08,0.06,78
Something Just Like This,The Chainsmokers,electropop,2017,103,0.65,0.61,-7,0.17,0.51,248,0.03,0.04,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,0.76,0.72,-4,0.18,0.74,251,0.41,0.05,78
I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,0.45,0.74,-8,0.33,0.09,245,0.06,0.06,78
My Way,Calvin Harris,dance pop,2017,120,0.91,0.82,-3,0.16,0.54,219,0.09,0.04,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,0.67,0.61,-4,0.17,0.81,289,0.06,0.04,77
Praying,Kesha,dance pop,2017,73,0.39,0.58,-7,0.11,0.32,230,0.49,0.03,77
Despacito - Remix,Luis Fonsi,latin,2017,178,0.82,0.65,-4,0.1,0.82,229,0.23,0.17,76
The Greatest,Sia,australian dance,2017,192,0.73,0.67,-6,0.06,0.73,210,0.01,0.27,76
There for You,Martin Garrix,big room,2017,106,0.64,0.61,-8,0.12,0.13,222,0.12,0.06,76
Paris,The Chainsmokers,electropop,2017,100,0.64,0.65,-7,0.09,0.25,222,0.02,0.03,76
Crying in the Club,Camila Cabello,dance pop,2017,85,0.62,0.33,-6,0.16,0.6,216,0.33,0.38,75
Mama,Jonas Blue,dance pop,2017,104,0.79,0.74,-4,0.05,0.57,184,0.1,0.04,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,0.8,0.74,-3,0.25,0.51,231,0.5,0.05,75
Swish Swish,Katy Perry,dance pop,2017,120,0.71,0.84,-5,0.1,0.57,243,0.02,0.04,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,0.8,0.45,-5,0.2,0.47,238,0.08,0.17,72
Cold (feat. Future),Maroon 5,pop,2017,100,0.72,0.69,-6,0.05,0.41,234,0.14,0.11,72
Love,Lana Del Rey,art pop,2017,99,0.37,0.53,-11,0.11,0.23,273,0.49,0.03,72
